,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
1807,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-13T03:00:00Z,2018-10-12T21:00:00-06:00,no2,0.036000000000000004,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1810,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-13T03:00:00Z,2018-10-12T21:00:00-06:00,no2,0.039,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1819,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-13T03:00:00Z,2018-10-12T21:00:00-06:00,no2,0.024,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1827,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-13T02:00:00Z,2018-10-12T20:00:00-06:00,no2,0.039,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1828,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-13T02:00:00Z,2018-10-12T20:00:00-06:00,no2,0.036000000000000004,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1830,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-13T02:00:00Z,2018-10-12T20:00:00-06:00,no2,0.042,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1843,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-13T01:00:00Z,2018-10-12T19:00:00-06:00,no2,0.037000000000000005,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1848,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-13T01:00:00Z,2018-10-12T19:00:00-06:00,no2,0.031,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1850,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-13T01:00:00Z,2018-10-12T19:00:00-06:00,no2,0.040999999999999995,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1863,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-13T00:00:00Z,2018-10-12T18:00:00-06:00,no2,0.04,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1864,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-13T00:00:00Z,2018-10-12T18:00:00-06:00,no2,0.026000000000000002,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1865,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-13T00:00:00Z,2018-10-12T18:00:00-06:00,no2,0.04,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1877,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-12T23:00:00Z,2018-10-12T17:00:00-06:00,no2,0.023,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1881,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-12T23:00:00Z,2018-10-12T17:00:00-06:00,no2,0.022000000000000002,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
